index	ID	SM	LB	PU	PL
1	CZA04_1_HHKJNCCX2_2	CZA04	1	HHKJNCCX2_2	Illumina
2	CZA17_1_HHKJNCCX2_2	CZA17	1	HHKJNCCX2_2	Illumina
3	CZA01_2_HHKJNCCX2_2	CZA01	2	HHKJNCCX2_2	Illumina
4	CZA02_10_HHKJNCCX2_2	CZA02	10	HHKJNCCX2_2	Illumina
5	CZA03_10_HHKJNCCX2_2	CZA03	10	HHKJNCCX2_2	Illumina
6	CZA07_3_HHKJNCCX2_2	CZA07	3	HHKJNCCX2_2	Illumina
7	CZA08_10_HHKJNCCX2_2	CZA08	10	HHKJNCCX2_2	Illumina
8	CZA09_3_HHKJNCCX2_2	CZA09	3	HHKJNCCX2_2	Illumina
9	CZA10_4_HHKJNCCX2_2	CZA10	4	HHKJNCCX2_2	Illumina
10	CZA11_4_HHKJNCCX2_2	CZA11	4	HHKJNCCX2_2	Illumina
11	CZA12_4_HHKJNCCX2_2	CZA12	4	HHKJNCCX2_2	Illumina
12	CZA13_4_HHKJNCCX2_2	CZA13	4	HHKJNCCX2_2	Illumina
13	CZA14_4_HHKJNCCX2_2	CZA14	4	HHKJNCCX2_2	Illumina
14	CZA15_4_HHKJNCCX2_2	CZA15	4	HHKJNCCX2_2	Illumina
15	CZA16_5_HHKJNCCX2_2	CZA16	5	HHKJNCCX2_2	Illumina
16	CZA18_5_HHKJNCCX2_2	CZA18	5	HHKJNCCX2_2	Illumina
17	CZA19_5_HHKJNCCX2_2	CZA19	5	HHKJNCCX2_2	Illumina
18	CZA05_5_HHKJNCCX2_2	CZA05	5	HHKJNCCX2_2	Illumina
19	CZA06_5_HHKJNCCX2_2	CZA06	5	HHKJNCCX2_2	Illumina
20	FPC09_1_HHKJNCCX2_2	FPC09	1	HHKJNCCX2_2	Illumina
21	FLE03_2_HHKJNCCX2_2	FLE03	2	HHKJNCCX2_2	Illumina
22	FPC01_2_HHKJNCCX2_2	FPC01	2	HHKJNCCX2_2	Illumina
23	FPQ01_2_HHKJNCCX2_2	FPQ01	2	HHKJNCCX2_2	Illumina
24	FRI02_2_HHKJNCCX2_2	FRI02	2	HHKJNCCX2_2	Illumina
25	FLE02_3_HHKJNCCX2_2	FLE02	3	HHKJNCCX2_2	Illumina
26	FPC02_3_HHKJNCCX2_2	FPC02	3	HHKJNCCX2_2	Illumina
27	FPQ02_10_HHKJNCCX2_2	FPQ02	10	HHKJNCCX2_2	Illumina
28	FRI01_10_HHKJNCCX2_2	FRI01	10	HHKJNCCX2_2	Illumina
29	FLE07_4_HHKJNCCX2_2	FLE07	4	HHKJNCCX2_2	Illumina
30	FLE08_4_HHKJNCCX2_2	FLE08	4	HHKJNCCX2_2	Illumina
31	FPC03_4_HHKJNCCX2_2	FPC03	4	HHKJNCCX2_2	Illumina
32	FPC04_4_HHKJNCCX2_2	FPC04	4	HHKJNCCX2_2	Illumina
33	FPC06_4_HHKJNCCX2_2	FPC06	4	HHKJNCCX2_2	Illumina
34	FPQ03_4_HHKJNCCX2_2	FPQ03	4	HHKJNCCX2_2	Illumina
35	FPQ05_4_HHKJNCCX2_2	FPQ05	4	HHKJNCCX2_2	Illumina
36	FRI03_4_HHKJNCCX2_2	FRI03	4	HHKJNCCX2_2	Illumina
37	FLE11_5_HHKJNCCX2_2	FLE11	5	HHKJNCCX2_2	Illumina
